nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,1,1,4,2
2,2,16,1,1,4,1
3,1,16,1,1,1,2
4,2,32,1,1,16,8
5,1,32,1,1,2,8
6,2,32,1,1,3,8
7,1,16,1,1,4,2
8,2,32,1,1,2,16
9,1,16,1,1,1,2
10,1,16,1,1,8,2
11,1,16,1,1,8,1
12,2,16,1,1,2,4
13,1,32,1,1,3,16
14,2,32,1,1,3,16
15,2,16,1,1,8,1
16,1,16,1,1,1,2
17,1,16,1,1,4,8
18,2,16,1,1,8,1
19,2,16,1,1,8,4
20,1,32,1,1,8,2
21,2,32,1,1,8,16
22,1,16,1,1,8,4
23,2,16,1,1,2,1
24,1,32,1,1,16,3
25,2,16,1,1,2,8
26,1,32,1,1,2,16
27,2,16,1,1,2,1
28,2,32,1,1,8,2
29,1,32,1,1,8,16
30,1,16,1,1,4,2
31,2,16,1,1,2,1
32,1,32,1,1,16,3
33,2,32,1,1,3,8
34,2,32,1,1,2,8
35,1,32,1,1,2,16
36,1,16,1,1,1,4
