nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,1,1,4,8
2,1,32,1,1,8,2
3,1,32,1,1,16,3
4,1,32,1,1,8,2
5,2,16,1,1,2,8
6,1,32,1,1,3,16
7,1,32,1,1,8,3
8,2,32,1,1,3,2
9,1,16,1,1,8,4
10,1,32,1,1,3,8
11,2,16,1,1,4,2
12,2,16,1,1,8,4
13,2,16,1,1,4,1
14,1,32,1,1,3,16
15,1,32,1,1,2,8
16,2,16,1,1,1,4
17,2,16,1,1,8,1
18,1,16,1,1,8,1
19,1,32,1,1,2,3
20,1,16,1,1,2,4
21,2,32,1,1,3,8
22,1,16,1,1,1,8
23,2,16,1,1,8,4
24,2,32,1,1,2,16
25,1,32,1,1,2,16
26,1,16,1,1,8,2
27,1,16,1,1,4,8
28,2,32,1,1,8,16
29,2,16,1,1,2,1
30,2,32,1,1,2,8
31,1,32,1,1,8,3
32,2,32,1,1,3,2
33,2,32,1,1,2,3
34,2,16,1,1,8,2
35,1,32,1,1,2,3
36,2,32,1,1,16,2
