nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,32,1,1,2,16
2,1,32,1,1,16,2
3,1,32,1,1,8,3
4,1,32,1,1,3,16
5,1,32,1,1,3,2
6,2,32,1,1,2,16
7,2,32,1,1,8,3
8,2,32,1,1,8,2
9,2,16,1,1,2,4
10,2,16,1,1,8,4
11,1,16,1,1,8,2
12,1,32,1,1,3,16
13,1,32,1,1,8,16
14,2,16,1,1,1,4
15,1,32,1,1,16,3
16,2,16,1,1,1,4
17,2,16,1,1,8,4
18,1,32,1,1,2,16
19,1,32,1,1,3,2
20,2,16,1,1,4,1
21,1,32,1,1,3,2
22,2,16,1,1,1,2
23,2,16,1,1,4,2
24,2,16,1,1,1,2
25,1,16,1,1,1,4
26,2,32,1,1,8,16
27,2,32,1,1,16,2
28,1,32,1,1,2,3
29,1,32,1,1,3,8
30,1,16,1,1,8,2
31,1,16,1,1,4,1
32,1,16,1,1,8,1
33,2,32,1,1,3,8
34,1,16,1,1,2,8
35,2,16,1,1,8,4
36,2,32,1,1,8,16
