nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,8,2
2,1,32,1,1,16,2
3,2,16,1,1,4,8
4,2,32,1,1,8,16
5,2,16,1,1,1,8
6,2,32,1,1,8,3
7,2,16,1,1,4,8
8,2,16,1,1,2,8
9,2,32,1,1,2,8
10,1,16,1,1,4,2
11,2,32,1,1,2,8
12,2,16,1,1,8,1
13,1,32,1,1,16,3
14,1,32,1,1,3,8
15,2,32,1,1,3,2
16,1,16,1,1,1,4
17,2,16,1,1,4,1
18,2,32,1,1,16,3
19,2,32,1,1,2,16
20,2,32,1,1,16,8
21,1,16,1,1,1,2
22,1,32,1,1,2,3
23,2,32,1,1,3,8
24,1,32,1,1,2,3
25,2,16,1,1,2,8
26,1,32,1,1,8,2
27,1,16,1,1,1,8
28,1,32,1,1,3,16
29,2,32,1,1,16,3
30,1,32,1,1,3,2
31,1,32,1,1,16,8
32,1,32,1,1,16,8
33,1,16,1,1,2,4
34,2,32,1,1,8,3
35,1,16,1,1,2,1
36,1,32,1,1,16,2
