nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,3,16
2,1,16,1,1,1,4
3,1,32,1,1,16,3
4,1,32,1,1,2,8
5,2,16,1,1,8,1
6,1,32,1,1,3,16
7,2,32,1,1,2,16
8,2,16,1,1,2,4
9,2,16,1,1,1,2
10,2,16,1,1,8,4
11,1,16,1,1,4,2
12,1,32,1,1,8,3
13,2,32,1,1,8,2
14,2,32,1,1,3,2
15,1,16,1,1,8,1
16,1,32,1,1,8,3
17,1,32,1,1,3,16
18,1,16,1,1,4,8
19,1,32,1,1,16,8
20,1,32,1,1,2,3
21,2,32,1,1,8,16
22,2,32,1,1,2,16
23,2,32,1,1,16,8
24,2,32,1,1,16,2
25,2,32,1,1,16,3
26,2,32,1,1,3,2
27,1,16,1,1,4,1
28,2,16,1,1,1,8
29,1,16,1,1,2,4
30,1,16,1,1,4,8
31,2,16,1,1,1,2
32,1,16,1,1,2,1
33,2,32,1,1,16,3
34,2,32,1,1,3,8
35,1,16,1,1,1,4
36,2,16,1,1,4,1
