nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,1,1,8,4
2,1,16,1,1,2,8
3,2,32,1,1,16,2
4,1,16,1,1,4,2
5,1,32,1,1,3,2
6,2,32,1,1,8,2
7,1,32,1,1,16,8
8,1,32,1,1,2,3
9,1,32,1,1,16,3
10,2,32,1,1,2,8
11,1,16,1,1,1,8
12,2,32,1,1,3,8
13,1,32,1,1,2,16
14,1,16,1,1,1,2
15,2,32,1,1,16,3
16,1,16,1,1,4,2
17,1,16,1,1,4,8
18,2,32,1,1,2,8
19,1,16,1,1,2,1
20,2,16,1,1,1,4
21,1,32,1,1,3,16
22,1,16,1,1,4,2
23,2,32,1,1,8,16
24,2,32,1,1,8,2
25,2,16,1,1,4,8
26,2,32,1,1,16,2
27,1,32,1,1,2,3
28,2,16,1,1,4,1
29,1,32,1,1,16,8
30,2,32,1,1,16,2
31,2,16,1,1,1,8
32,1,16,1,1,2,8
33,2,16,1,1,8,2
34,2,16,1,1,2,1
35,2,16,1,1,2,4
36,1,16,1,1,2,4
