nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,1,1,1,2
2,1,32,1,1,16,3
3,2,32,1,1,3,16
4,2,32,1,1,8,16
5,1,32,1,1,16,3
6,2,16,1,1,4,1
7,1,16,1,1,1,4
8,2,32,1,1,16,2
9,2,32,1,1,2,16
10,2,16,1,1,1,8
11,1,32,1,1,8,2
12,2,16,1,1,8,1
13,1,16,1,1,2,8
14,1,16,1,1,1,2
15,2,32,1,1,3,2
16,2,16,1,1,2,4
17,1,32,1,1,2,16
18,1,16,1,1,4,2
19,2,16,1,1,2,1
20,2,32,1,1,3,8
21,2,16,1,1,4,8
22,2,32,1,1,8,16
23,1,32,1,1,16,8
24,1,16,1,1,1,4
25,1,16,1,1,8,2
26,2,16,1,1,8,4
27,1,32,1,1,8,3
28,2,32,1,1,8,2
29,1,32,1,1,16,8
30,2,32,1,1,3,2
31,1,32,1,1,2,8
32,1,16,1,1,2,4
33,1,16,1,1,8,1
34,1,16,1,1,2,8
35,2,16,1,1,1,2
36,1,32,1,1,8,3
