nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,16,1,1,2,1
2,2,16,1,1,2,8
3,1,32,1,1,8,2
4,2,16,1,1,4,8
5,1,16,1,1,1,2
6,1,32,1,1,2,8
7,1,32,1,1,16,8
8,1,16,1,1,4,8
9,2,16,1,1,4,2
10,1,32,1,1,2,3
11,2,32,1,1,3,2
12,2,16,1,1,4,2
13,1,16,1,1,4,1
14,2,16,1,1,1,8
15,2,32,1,1,3,16
16,1,32,1,1,3,2
17,1,32,1,1,3,8
18,2,32,1,1,16,2
19,1,16,1,1,8,2
20,2,32,1,1,2,3
21,2,32,1,1,3,16
22,2,32,1,1,8,3
23,2,16,1,1,8,1
24,1,16,1,1,8,4
25,1,32,1,1,3,8
26,2,16,1,1,1,8
27,1,16,1,1,8,2
28,2,16,1,1,4,1
29,1,32,1,1,16,2
30,2,32,1,1,16,8
31,1,32,1,1,2,16
32,2,32,1,1,2,8
33,1,32,1,1,2,8
34,2,32,1,1,3,8
35,2,32,1,1,8,16
36,1,32,1,1,16,3
