nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,16,1,1,4,8
2,1,32,1,1,2,3
3,1,32,1,1,2,8
4,2,32,1,1,16,3
5,1,32,1,1,2,16
6,2,16,1,1,2,1
7,1,32,1,1,8,16
8,1,32,1,1,16,2
9,1,16,1,1,2,8
10,2,32,1,1,2,16
11,2,16,1,1,1,2
12,1,32,1,1,2,16
13,1,32,1,1,3,16
14,1,16,1,1,2,4
15,1,32,1,1,8,3
16,2,32,1,1,8,2
17,2,32,1,1,16,2
18,2,32,1,1,3,2
19,1,32,1,1,16,8
20,2,16,1,1,2,4
21,1,32,1,1,2,8
22,2,16,1,1,4,2
23,1,32,1,1,16,3
24,2,32,1,1,2,8
25,2,16,1,1,4,2
26,2,32,1,1,16,8
27,1,16,1,1,2,4
28,1,16,1,1,8,2
29,2,32,1,1,2,3
30,2,16,1,1,8,4
31,1,16,1,1,8,1
32,2,16,1,1,2,8
33,2,32,1,1,8,16
34,2,16,1,1,2,1
35,1,32,1,1,8,2
36,2,32,1,1,8,2
