nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,32,1,1,2,16
2,2,32,1,1,8,16
3,2,32,1,1,3,2
4,1,16,1,1,2,4
5,2,16,1,1,1,2
6,2,32,1,1,8,2
7,2,16,1,1,4,2
8,2,16,1,1,2,4
9,1,32,1,1,3,16
10,2,32,1,1,8,3
11,2,32,1,1,8,2
12,2,32,1,1,16,8
13,1,16,1,1,8,4
14,1,32,1,1,2,8
15,1,16,1,1,8,1
16,1,32,1,1,8,3
17,2,32,1,1,8,2
18,1,16,1,1,1,8
19,1,32,1,1,16,2
20,2,32,1,1,16,8
21,1,16,1,1,8,2
22,1,32,1,1,8,16
23,1,16,1,1,8,2
24,2,32,1,1,3,16
25,2,16,1,1,1,2
26,1,16,1,1,1,4
27,1,32,1,1,2,8
28,1,32,1,1,3,8
29,1,32,1,1,8,16
30,2,16,1,1,8,2
31,1,32,1,1,3,2
32,2,16,1,1,2,1
33,2,32,1,1,3,16
34,2,16,1,1,1,8
35,1,32,1,1,2,3
36,1,32,1,1,16,2
