nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,32,1,1,16,2
2,1,16,1,1,1,8
3,1,16,1,1,4,8
4,1,32,1,1,16,8
5,1,16,1,1,1,2
6,2,32,1,1,2,16
7,1,16,1,1,8,1
8,2,16,1,1,8,4
9,2,32,1,1,3,16
10,2,16,1,1,1,4
11,2,32,1,1,16,2
12,2,32,1,1,2,3
13,2,32,1,1,2,16
14,1,32,1,1,8,3
15,2,16,1,1,4,1
16,2,32,1,1,3,8
17,2,16,1,1,8,4
18,2,32,1,1,8,2
19,1,16,1,1,8,2
20,2,32,1,1,3,8
21,1,32,1,1,3,8
22,1,16,1,1,2,1
23,2,16,1,1,2,8
24,1,16,1,1,1,4
25,1,16,1,1,8,2
26,1,32,1,1,3,2
27,1,16,1,1,4,2
28,1,16,1,1,8,2
29,1,16,1,1,1,4
30,1,16,1,1,4,1
31,2,16,1,1,4,8
32,2,32,1,1,8,16
33,1,16,1,1,4,2
34,2,16,1,1,1,2
35,2,32,1,1,3,16
36,1,16,1,1,2,1
