nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,32,1,1,8,3
2,1,32,1,1,3,2
3,2,16,1,1,8,1
4,2,16,1,1,4,2
5,2,32,1,1,8,16
6,1,32,1,1,16,8
7,2,32,1,1,3,16
8,2,16,1,1,8,1
9,1,16,1,1,4,1
10,2,16,1,1,2,4
11,1,32,1,1,8,16
12,2,32,1,1,2,16
13,1,32,1,1,16,3
14,1,32,1,1,2,8
15,2,16,1,1,1,2
16,1,32,1,1,8,3
17,1,16,1,1,8,2
18,1,32,1,1,3,8
19,1,32,1,1,3,2
20,1,16,1,1,2,8
21,1,16,1,1,8,4
22,1,16,1,1,4,1
23,1,32,1,1,3,16
24,2,32,1,1,8,16
25,1,16,1,1,1,4
26,1,16,1,1,8,2
27,2,16,1,1,1,8
28,2,32,1,1,16,2
29,2,32,1,1,3,2
30,2,16,1,1,1,8
31,2,32,1,1,16,8
32,2,16,1,1,1,2
33,2,32,1,1,2,8
34,2,16,1,1,2,4
35,1,32,1,1,8,2
36,1,32,1,1,2,3
