nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,16,2
2,2,32,1,1,2,16
3,1,32,1,1,16,3
4,2,32,1,1,2,8
5,2,16,1,1,8,1
6,1,16,1,1,1,8
7,1,32,1,1,16,8
8,1,32,1,1,8,2
9,2,32,1,1,16,8
10,1,32,1,1,3,8
11,2,32,1,1,16,2
12,2,16,1,1,4,1
13,1,32,1,1,8,3
14,1,16,1,1,2,8
15,2,32,1,1,3,8
16,1,16,1,1,2,1
17,2,16,1,1,1,4
18,2,16,1,1,4,8
19,2,32,1,1,3,2
20,2,16,1,1,1,2
21,1,32,1,1,3,16
22,2,32,1,1,16,3
23,2,32,1,1,3,8
24,2,32,1,1,8,16
25,1,32,1,1,8,3
26,1,32,1,1,8,2
27,2,32,1,1,8,16
28,1,32,1,1,2,3
29,2,16,1,1,4,2
30,1,16,1,1,8,4
31,1,32,1,1,16,3
32,2,32,1,1,2,16
33,2,16,1,1,1,4
34,1,16,1,1,1,2
35,1,32,1,1,3,2
36,1,32,1,1,3,16
