nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,1,1,1,2
2,2,16,1,1,2,1
3,1,32,1,1,2,16
4,1,32,1,1,16,3
5,1,16,1,1,2,1
6,2,32,1,1,16,3
7,2,16,1,1,8,4
8,1,32,1,1,8,3
9,1,16,1,1,4,2
10,2,32,1,1,16,2
11,2,16,1,1,2,4
12,2,16,1,1,2,4
13,1,32,1,1,8,2
14,2,32,1,1,2,8
15,1,32,1,1,16,8
16,1,16,1,1,8,1
17,1,32,1,1,2,3
18,1,16,1,1,8,1
19,2,16,1,1,1,4
20,2,32,1,1,3,16
21,2,32,1,1,3,16
22,1,16,1,1,1,4
23,2,32,1,1,2,16
24,1,32,1,1,8,16
25,2,32,1,1,8,16
26,1,32,1,1,3,16
27,1,16,1,1,8,2
28,1,32,1,1,8,2
29,1,32,1,1,3,8
30,2,16,1,1,4,8
31,1,16,1,1,4,2
32,2,16,1,1,8,4
33,2,32,1,1,2,16
34,2,32,1,1,8,2
35,1,32,1,1,2,3
36,2,16,1,1,2,1
