nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,32,1,1,8,3
2,1,16,1,1,2,8
3,2,32,1,1,16,3
4,1,16,1,1,4,1
5,2,32,1,1,16,8
6,1,16,1,1,8,4
7,1,16,1,1,4,8
8,2,32,1,1,2,3
9,1,32,1,1,3,8
10,1,32,1,1,2,8
11,2,32,1,1,16,2
12,1,16,1,1,4,1
13,2,32,1,1,3,8
14,2,16,1,1,2,1
15,1,16,1,1,2,8
16,2,32,1,1,16,2
17,2,16,1,1,4,1
18,2,16,1,1,4,2
19,1,32,1,1,8,16
20,1,32,1,1,2,3
21,1,32,1,1,2,3
22,1,32,1,1,8,3
23,2,32,1,1,16,3
24,1,16,1,1,1,8
25,2,32,1,1,8,16
26,1,16,1,1,2,4
27,1,16,1,1,8,1
28,2,16,1,1,1,4
29,2,32,1,1,2,8
30,2,16,1,1,8,2
31,1,16,1,1,2,1
32,1,32,1,1,3,16
33,2,32,1,1,16,8
34,2,32,1,1,3,2
35,2,32,1,1,2,16
36,1,32,1,1,2,16
