nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,16,8
2,1,32,1,1,3,16
3,2,32,1,1,2,3
4,2,32,1,1,8,2
5,1,32,1,1,8,16
6,2,16,1,1,2,8
7,1,16,1,1,1,8
8,2,16,1,1,8,2
9,1,16,1,1,8,2
10,1,16,1,1,4,1
11,2,16,1,1,8,2
12,1,32,1,1,16,2
13,2,32,1,1,8,2
14,1,32,1,1,3,8
15,2,32,1,1,8,3
16,1,16,1,1,1,4
17,1,16,1,1,1,4
18,1,32,1,1,3,8
19,1,16,1,1,1,8
20,1,16,1,1,8,4
21,2,16,1,1,2,1
22,2,16,1,1,1,2
23,2,32,1,1,8,16
24,2,16,1,1,2,4
25,1,32,1,1,3,2
26,1,32,1,1,16,2
27,2,32,1,1,2,16
28,1,16,1,1,8,4
29,1,16,1,1,2,1
30,1,16,1,1,1,2
31,2,16,1,1,4,8
32,2,16,1,1,1,4
33,2,32,1,1,8,3
34,2,16,1,1,4,2
35,2,16,1,1,2,8
36,2,32,1,1,16,2
