nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,32,1,1,3,16
2,2,32,1,1,16,3
3,2,32,1,1,2,16
4,2,16,1,1,2,4
5,2,16,1,1,2,1
6,2,16,1,1,8,4
7,1,32,1,1,16,3
8,2,16,1,1,4,1
9,2,16,1,1,1,2
10,2,16,1,1,1,8
11,1,16,1,1,2,8
12,2,32,1,1,3,16
13,1,16,1,1,2,4
14,1,16,1,1,1,2
15,2,32,1,1,2,8
16,1,32,1,1,3,8
17,1,32,1,1,16,2
18,1,32,1,1,16,3
19,1,16,1,1,8,4
20,1,16,1,1,4,8
21,1,32,1,1,8,3
22,1,32,1,1,2,3
23,2,16,1,1,4,1
24,2,32,1,1,2,8
25,1,16,1,1,1,4
26,1,32,1,1,8,3
27,2,32,1,1,16,2
28,2,32,1,1,8,3
29,2,32,1,1,8,16
30,1,32,1,1,16,2
31,1,16,1,1,4,8
32,1,16,1,1,1,8
33,1,32,1,1,3,2
34,1,32,1,1,8,2
35,2,32,1,1,3,2
36,2,16,1,1,8,4
