nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,1,1,4,2
2,2,16,1,1,4,2
3,1,16,1,1,2,8
4,2,16,1,1,1,8
5,2,32,1,1,8,16
6,1,32,1,1,3,16
7,1,16,1,1,8,4
8,2,32,1,1,8,2
9,1,16,1,1,2,1
10,2,16,1,1,8,1
11,2,16,1,1,2,4
12,1,16,1,1,1,4
13,2,16,1,1,8,4
14,1,32,1,1,2,3
15,1,16,1,1,1,8
16,2,16,1,1,8,1
17,1,16,1,1,1,2
18,2,32,1,1,16,3
19,1,16,1,1,8,2
20,2,16,1,1,2,4
21,1,32,1,1,3,2
22,1,32,1,1,3,16
23,2,32,1,1,3,8
24,2,32,1,1,8,16
25,1,32,1,1,16,8
26,2,16,1,1,4,1
27,1,16,1,1,4,2
28,1,32,1,1,2,8
29,2,16,1,1,4,8
30,2,32,1,1,8,2
31,1,16,1,1,8,2
32,1,32,1,1,2,8
33,1,32,1,1,3,2
34,2,32,1,1,16,2
35,2,16,1,1,1,8
36,1,16,1,1,1,2
