nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,16,1,1,1,8
2,1,32,1,1,3,8
3,2,16,1,1,4,1
4,2,32,1,1,16,8
5,2,32,1,1,2,16
6,2,16,1,1,8,2
7,2,32,1,1,3,2
8,2,16,1,1,4,8
9,1,16,1,1,1,2
10,1,16,1,1,2,4
11,1,16,1,1,8,1
12,1,16,1,1,1,4
13,1,16,1,1,2,8
14,1,32,1,1,3,2
15,2,16,1,1,4,1
16,1,16,1,1,1,8
17,1,16,1,1,4,2
18,2,16,1,1,4,2
19,2,32,1,1,2,8
20,1,32,1,1,16,3
21,1,16,1,1,2,1
22,2,16,1,1,2,8
23,1,32,1,1,16,8
24,2,16,1,1,1,2
25,2,32,1,1,16,2
26,2,32,1,1,2,3
27,2,32,1,1,8,16
28,1,32,1,1,3,16
29,2,32,1,1,8,16
30,2,32,1,1,8,3
31,1,32,1,1,2,8
32,1,32,1,1,16,2
33,2,16,1,1,8,4
34,2,32,1,1,3,8
35,1,16,1,1,8,2
36,1,32,1,1,8,2
