nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,32,1,1,8,16
2,1,16,1,1,2,1
3,2,32,1,1,2,3
4,1,16,1,1,8,1
5,1,32,1,1,8,2
6,2,32,1,1,2,3
7,1,32,1,1,2,8
8,1,32,1,1,8,2
9,1,16,1,1,2,8
10,2,32,1,1,8,16
11,1,16,1,1,2,4
12,1,32,1,1,16,2
13,2,16,1,1,1,8
14,1,32,1,1,8,3
15,2,16,1,1,4,1
16,2,16,1,1,8,2
17,2,16,1,1,8,2
18,2,32,1,1,3,16
19,2,16,1,1,1,2
20,1,32,1,1,3,8
21,2,16,1,1,2,8
22,1,16,1,1,1,8
23,1,32,1,1,2,8
24,1,16,1,1,8,4
25,2,16,1,1,2,1
26,2,16,1,1,1,8
27,1,16,1,1,8,4
28,1,32,1,1,3,2
29,2,16,1,1,4,2
30,1,16,1,1,4,8
31,2,32,1,1,16,2
32,1,16,1,1,8,4
33,1,32,1,1,8,3
34,2,16,1,1,1,4
35,2,32,1,1,3,8
36,2,32,1,1,16,3
