nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,16,1,1,2,1
2,1,32,1,1,16,3
3,1,32,1,1,3,16
4,1,32,1,1,3,2
5,2,32,1,1,8,3
6,2,32,1,1,16,2
7,1,16,1,1,4,2
8,2,32,1,1,2,8
9,2,16,1,1,1,2
10,1,16,1,1,1,8
11,2,16,1,1,2,8
12,2,16,1,1,8,1
13,2,16,1,1,4,8
14,2,32,1,1,3,8
15,2,16,1,1,1,4
16,1,16,1,1,4,1
17,1,32,1,1,8,2
18,2,32,1,1,3,2
19,1,32,1,1,3,8
20,1,32,1,1,2,16
21,1,32,1,1,8,2
22,2,32,1,1,16,3
23,2,32,1,1,8,16
24,2,32,1,1,16,2
25,2,16,1,1,1,2
26,1,16,1,1,1,4
27,1,16,1,1,1,8
28,1,32,1,1,16,8
29,1,32,1,1,16,3
30,2,32,1,1,3,16
31,1,32,1,1,8,16
32,2,32,1,1,2,3
33,1,32,1,1,8,3
34,1,16,1,1,8,4
35,2,16,1,1,8,4
36,2,32,1,1,3,8
