nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,16,1,1,4,2
2,1,32,1,1,3,16
3,2,32,1,1,3,16
4,1,32,1,1,2,8
5,2,32,1,1,8,16
6,2,16,1,1,8,1
7,1,16,1,1,8,4
8,1,32,1,1,3,8
9,2,32,1,1,2,3
10,2,32,1,1,16,3
11,1,32,1,1,3,16
12,1,32,1,1,2,8
13,1,16,1,1,4,2
14,1,16,1,1,2,1
15,2,32,1,1,8,16
16,2,32,1,1,8,2
17,1,16,1,1,8,1
18,1,32,1,1,2,3
19,1,16,1,1,8,4
20,1,16,1,1,2,1
21,2,32,1,1,2,16
22,2,16,1,1,2,4
23,2,16,1,1,8,4
24,2,32,1,1,8,16
25,2,32,1,1,2,3
26,2,32,1,1,8,2
27,1,16,1,1,8,1
28,2,32,1,1,8,2
29,1,32,1,1,3,2
30,2,32,1,1,16,3
31,1,32,1,1,2,8
32,2,32,1,1,2,16
33,1,16,1,1,8,2
34,2,32,1,1,8,3
35,1,16,1,1,1,8
36,2,16,1,1,2,4
