nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,32,1,1,2,16
2,2,16,1,1,8,2
3,2,16,1,1,4,1
4,1,32,1,1,2,3
5,2,16,1,1,4,8
6,1,16,1,1,4,2
7,2,16,1,1,4,2
8,1,32,1,1,8,16
9,2,32,1,1,16,2
10,2,32,1,1,16,8
11,1,16,1,1,8,1
12,2,16,1,1,8,1
13,1,32,1,1,2,8
14,1,32,1,1,8,3
15,2,32,1,1,2,16
16,1,16,1,1,2,4
17,2,32,1,1,3,8
18,2,32,1,1,2,16
19,1,16,1,1,4,1
20,1,16,1,1,8,4
21,1,32,1,1,3,16
22,2,32,1,1,2,8
23,2,16,1,1,8,2
24,1,32,1,1,3,2
25,1,16,1,1,1,2
26,2,32,1,1,3,16
27,1,16,1,1,2,8
28,1,16,1,1,4,1
29,1,16,1,1,2,4
30,2,16,1,1,1,2
31,2,16,1,1,8,2
32,1,16,1,1,4,8
33,1,16,1,1,2,1
34,2,16,1,1,8,4
35,2,32,1,1,3,2
36,1,16,1,1,1,4
