nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,32,1,1,16,3
2,1,32,1,1,2,16
3,1,16,1,1,2,8
4,2,32,1,1,3,16
5,1,16,1,1,4,2
6,2,16,1,1,8,2
7,1,32,1,1,8,16
8,1,32,1,1,16,2
9,1,16,1,1,1,4
10,2,16,1,1,8,4
11,2,32,1,1,2,8
12,2,16,1,1,1,8
13,2,32,1,1,3,8
14,2,16,1,1,4,1
15,1,16,1,1,8,1
16,2,32,1,1,16,8
17,2,32,1,1,8,2
18,1,32,1,1,3,8
19,1,32,1,1,16,8
20,2,32,1,1,2,16
21,2,16,1,1,1,2
22,1,32,1,1,2,3
23,1,32,1,1,2,8
24,1,16,1,1,1,2
25,1,16,1,1,2,1
26,2,32,1,1,8,3
27,2,32,1,1,16,3
28,2,32,1,1,3,2
29,1,16,1,1,4,2
30,2,16,1,1,8,1
31,1,16,1,1,2,8
32,2,16,1,1,2,1
33,1,32,1,1,3,8
34,2,16,1,1,4,8
35,1,16,1,1,4,1
36,1,32,1,1,8,16
