nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,16,8
2,1,32,1,1,8,16
3,2,32,1,1,16,8
4,2,16,1,1,4,2
5,1,16,1,1,4,8
6,1,16,1,1,8,1
7,1,32,1,1,2,8
8,2,32,1,1,16,3
9,1,16,1,1,8,2
10,2,16,1,1,2,4
11,2,32,1,1,8,2
12,2,32,1,1,3,2
13,1,32,1,1,3,16
14,1,32,1,1,3,8
15,1,32,1,1,3,16
16,2,32,1,1,3,16
17,2,32,1,1,8,16
18,2,16,1,1,4,2
19,1,16,1,1,4,2
20,2,16,1,1,2,1
21,1,32,1,1,2,8
22,2,16,1,1,8,4
23,2,32,1,1,2,16
24,1,32,1,1,2,3
25,2,16,1,1,1,2
26,1,16,1,1,2,1
27,2,16,1,1,8,1
28,2,16,1,1,1,4
29,2,32,1,1,2,3
30,1,32,1,1,16,2
31,1,32,1,1,8,2
32,1,32,1,1,2,16
33,2,32,1,1,16,3
34,1,32,1,1,3,8
35,2,32,1,1,8,2
36,1,16,1,1,1,8
