nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,1,1,1,4
2,1,32,1,1,16,8
3,2,32,1,1,2,16
4,1,16,1,1,8,1
5,1,32,1,1,8,2
6,2,32,1,1,16,3
7,1,16,1,1,2,1
8,2,32,1,1,2,8
9,2,16,1,1,1,2
10,1,16,1,1,1,8
11,2,32,1,1,3,8
12,1,16,1,1,8,2
13,1,16,1,1,4,2
14,2,32,1,1,16,2
15,1,32,1,1,16,8
16,1,32,1,1,8,3
17,2,16,1,1,2,8
18,2,32,1,1,3,2
19,2,16,1,1,4,8
20,2,32,1,1,16,3
21,1,16,1,1,4,8
22,1,16,1,1,2,4
23,2,32,1,1,3,8
24,2,32,1,1,2,8
25,1,16,1,1,1,2
26,1,32,1,1,16,2
27,1,32,1,1,8,2
28,1,16,1,1,1,2
29,2,16,1,1,4,1
30,2,32,1,1,8,16
31,2,32,1,1,16,8
32,1,32,1,1,3,2
33,2,32,1,1,3,16
34,2,32,1,1,8,3
35,1,16,1,1,1,8
36,1,16,1,1,2,8
