nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,16,1,1,4,8
2,2,32,1,1,3,2
3,2,16,1,1,8,2
4,1,32,1,1,3,8
5,2,32,1,1,2,3
6,2,32,1,1,8,2
7,2,32,1,1,8,2
8,2,32,1,1,3,2
9,2,16,1,1,4,8
10,2,32,1,1,16,2
11,2,32,1,1,3,16
12,2,32,1,1,8,3
13,1,32,1,1,3,8
14,2,16,1,1,1,8
15,1,32,1,1,16,8
16,1,16,1,1,8,1
17,1,32,1,1,2,8
18,2,32,1,1,2,3
19,2,32,1,1,16,8
20,1,16,1,1,4,1
21,1,32,1,1,3,16
22,1,32,1,1,2,8
23,2,16,1,1,8,2
24,1,16,1,1,1,8
25,1,32,1,1,8,16
26,1,32,1,1,2,8
27,2,16,1,1,2,1
28,2,16,1,1,1,8
29,1,32,1,1,8,3
30,1,32,1,1,2,3
31,2,16,1,1,2,4
32,1,32,1,1,16,2
33,1,32,1,1,16,3
34,1,32,1,1,16,8
35,1,32,1,1,3,16
36,2,16,1,1,4,2
