nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,16,1,1,8,4
2,1,16,1,1,1,8
3,2,32,1,1,16,3
4,1,16,1,1,4,8
5,2,16,1,1,2,4
6,2,16,1,1,4,1
7,2,32,1,1,2,8
8,2,32,1,1,3,2
9,1,32,1,1,2,3
10,2,32,1,1,3,2
11,1,32,1,1,2,3
12,2,32,1,1,8,3
13,1,32,1,1,8,3
14,2,32,1,1,3,16
15,2,16,1,1,2,1
16,2,16,1,1,8,4
17,2,16,1,1,8,1
18,2,16,1,1,4,8
19,2,16,1,1,8,1
20,1,16,1,1,8,1
21,1,16,1,1,1,8
22,1,16,1,1,4,1
23,1,16,1,1,4,8
24,1,32,1,1,3,16
25,1,32,1,1,16,3
26,2,16,1,1,2,4
27,1,32,1,1,3,8
28,1,32,1,1,3,16
29,2,16,1,1,1,8
30,2,32,1,1,16,8
31,2,16,1,1,8,2
32,1,32,1,1,2,8
33,1,16,1,1,4,2
34,1,32,1,1,2,8
35,1,32,1,1,8,2
36,2,32,1,1,2,3
