nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,16,1,1,4,2
2,2,16,1,1,2,4
3,1,32,1,1,3,8
4,1,16,1,1,1,4
5,2,32,1,1,3,16
6,2,32,1,1,16,8
7,1,16,1,1,4,8
8,1,32,1,1,2,3
9,2,32,1,1,16,2
10,2,16,1,1,8,1
11,2,32,1,1,8,2
12,1,32,1,1,2,8
13,1,32,1,1,2,16
14,1,16,1,1,8,2
15,2,32,1,1,16,8
16,2,16,1,1,8,4
17,1,32,1,1,3,16
18,2,16,1,1,4,2
19,1,32,1,1,16,3
20,2,32,1,1,3,16
21,2,32,1,1,8,16
22,1,32,1,1,8,2
23,1,32,1,1,2,16
24,1,32,1,1,3,2
25,1,16,1,1,4,8
26,2,16,1,1,1,4
27,1,32,1,1,3,2
28,2,32,1,1,3,2
29,2,16,1,1,8,2
30,1,16,1,1,1,2
31,1,32,1,1,3,8
32,2,32,1,1,2,3
33,2,32,1,1,8,3
34,1,32,1,1,8,2
35,2,32,1,1,16,2
36,2,32,1,1,2,16
