nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,32,1,1,16,3
2,2,32,1,1,8,16
3,2,16,1,1,4,1
4,2,16,1,1,2,4
5,2,32,1,1,3,2
6,1,16,1,1,1,4
7,1,32,1,1,3,8
8,1,32,1,1,2,3
9,2,16,1,1,4,8
10,1,32,1,1,16,2
11,1,16,1,1,2,8
12,2,16,1,1,8,1
13,1,32,1,1,16,2
14,1,16,1,1,4,1
15,1,16,1,1,1,2
16,1,32,1,1,8,3
17,1,16,1,1,8,4
18,1,32,1,1,3,2
19,1,32,1,1,16,8
20,2,32,1,1,2,16
21,2,32,1,1,8,16
22,1,16,1,1,2,8
23,2,16,1,1,1,2
24,1,32,1,1,8,3
25,2,32,1,1,16,3
26,1,16,1,1,1,8
27,1,32,1,1,16,3
28,1,32,1,1,2,8
29,2,16,1,1,4,2
30,2,32,1,1,3,8
31,2,16,1,1,1,4
32,2,32,1,1,16,8
33,2,16,1,1,1,8
34,2,32,1,1,3,16
35,1,16,1,1,2,1
36,2,32,1,1,8,2
