nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,1,1,2,4
2,1,32,1,1,3,16
3,1,32,1,1,16,8
4,1,16,1,1,1,2
5,1,16,1,1,8,1
6,1,16,1,1,4,8
7,1,32,1,1,16,8
8,2,32,1,1,8,16
9,2,32,1,1,2,8
10,1,32,1,1,3,8
11,1,16,1,1,8,1
12,1,16,1,1,1,4
13,1,32,1,1,2,3
14,1,32,1,1,2,3
15,2,16,1,1,8,2
16,2,32,1,1,16,8
17,2,16,1,1,4,1
18,2,16,1,1,4,2
19,1,32,1,1,8,2
20,2,32,1,1,8,3
21,2,16,1,1,4,1
22,2,16,1,1,8,2
23,2,32,1,1,2,16
24,1,32,1,1,3,16
25,1,16,1,1,8,2
26,2,32,1,1,3,16
27,2,32,1,1,3,8
28,2,32,1,1,2,16
29,1,32,1,1,3,2
30,1,16,1,1,4,2
31,1,32,1,1,3,2
32,1,16,1,1,8,1
33,2,32,1,1,8,16
34,2,16,1,1,1,4
35,2,16,1,1,1,8
36,2,32,1,1,3,2
