nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,3,8
2,2,32,1,1,2,16
3,2,16,1,1,8,4
4,1,16,1,1,2,4
5,1,16,1,1,1,2
6,2,32,1,1,3,16
7,1,16,1,1,4,8
8,1,16,1,1,4,2
9,1,16,1,1,1,2
10,1,16,1,1,2,4
11,2,16,1,1,8,2
12,2,16,1,1,2,8
13,2,16,1,1,1,4
14,2,32,1,1,8,2
15,2,32,1,1,8,16
16,1,16,1,1,8,4
17,1,32,1,1,2,8
18,1,16,1,1,1,2
19,1,16,1,1,2,1
20,1,32,1,1,2,8
21,1,32,1,1,8,16
22,2,16,1,1,8,1
23,1,16,1,1,8,1
24,1,32,1,1,16,2
25,2,16,1,1,1,8
26,2,16,1,1,4,2
27,1,32,1,1,2,16
28,2,16,1,1,8,2
29,1,16,1,1,2,1
30,2,16,1,1,4,1
31,1,32,1,1,8,2
32,2,32,1,1,8,3
33,2,32,1,1,3,16
34,2,16,1,1,8,2
35,2,32,1,1,16,8
36,2,16,1,1,2,1
