nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,1,1,8,4
2,1,16,1,1,2,8
3,2,16,1,1,1,8
4,1,32,1,1,8,3
5,1,16,1,1,2,4
6,1,16,1,1,4,8
7,2,32,1,1,16,3
8,1,16,1,1,8,2
9,1,16,1,1,1,4
10,2,16,1,1,2,8
11,2,32,1,1,8,2
12,2,32,1,1,8,3
13,1,32,1,1,3,8
14,1,32,1,1,2,8
15,2,16,1,1,1,2
16,1,32,1,1,3,2
17,1,16,1,1,4,8
18,1,16,1,1,1,2
19,1,16,1,1,1,8
20,2,32,1,1,3,8
21,2,16,1,1,2,1
22,1,16,1,1,8,1
23,1,32,1,1,2,8
24,2,16,1,1,1,8
25,2,16,1,1,8,1
26,2,16,1,1,8,2
27,2,32,1,1,16,8
28,2,16,1,1,8,1
29,2,32,1,1,3,16
30,2,32,1,1,8,2
31,1,16,1,1,2,1
32,1,32,1,1,8,2
33,1,16,1,1,8,4
34,2,32,1,1,8,3
35,2,32,1,1,2,3
36,1,16,1,1,4,8
