nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,8,2
2,1,32,1,1,8,16
3,1,16,1,1,8,2
4,2,32,1,1,3,2
5,2,16,1,1,2,4
6,2,16,1,1,2,8
7,2,32,1,1,16,3
8,2,32,1,1,16,2
9,1,16,1,1,4,1
10,1,16,1,1,8,4
11,2,16,1,1,4,2
12,1,32,1,1,8,16
13,2,16,1,1,4,2
14,1,16,1,1,4,1
15,2,16,1,1,2,1
16,2,16,1,1,8,1
17,2,16,1,1,1,8
18,1,16,1,1,8,2
19,2,16,1,1,4,2
20,1,32,1,1,2,16
21,1,16,1,1,1,8
22,2,32,1,1,2,8
23,1,32,1,1,2,8
24,2,16,1,1,1,2
25,2,16,1,1,2,8
26,1,32,1,1,16,8
27,1,32,1,1,2,3
28,2,16,1,1,4,8
29,1,16,1,1,8,4
30,2,32,1,1,2,3
31,2,16,1,1,2,4
32,1,32,1,1,3,8
33,1,32,1,1,3,16
34,2,32,1,1,2,8
35,1,16,1,1,8,1
36,1,32,1,1,3,2
