nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,2,16
2,2,32,1,1,2,3
3,1,32,1,1,16,3
4,1,32,1,1,8,3
5,1,16,1,1,2,1
6,2,16,1,1,1,4
7,2,16,1,1,4,8
8,1,16,1,1,2,4
9,1,16,1,1,2,1
10,2,16,1,1,4,2
11,2,32,1,1,16,2
12,1,16,1,1,1,2
13,2,16,1,1,1,4
14,2,16,1,1,8,2
15,1,32,1,1,16,8
16,1,16,1,1,1,8
17,1,32,1,1,8,2
18,2,16,1,1,1,2
19,2,32,1,1,16,8
20,2,32,1,1,16,8
21,2,16,1,1,4,1
22,1,16,1,1,2,1
23,1,16,1,1,8,2
24,2,32,1,1,8,3
25,2,16,1,1,2,4
26,2,32,1,1,8,16
27,1,16,1,1,2,4
28,1,32,1,1,8,16
29,1,16,1,1,2,8
30,2,32,1,1,16,2
31,1,32,1,1,8,2
32,2,16,1,1,2,8
33,2,32,1,1,2,8
34,1,32,1,1,3,16
35,1,32,1,1,2,16
36,2,16,1,1,8,1
