nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,3,16
2,2,16,1,1,8,1
3,1,16,1,1,4,2
4,1,16,1,1,1,4
5,1,16,1,1,1,4
6,1,32,1,1,3,8
7,2,16,1,1,4,2
8,2,32,1,1,2,16
9,1,32,1,1,16,2
10,2,32,1,1,8,16
11,1,16,1,1,1,2
12,2,16,1,1,1,8
13,1,32,1,1,16,8
14,1,32,1,1,16,8
15,2,16,1,1,1,8
16,2,16,1,1,2,1
17,1,32,1,1,3,16
18,2,16,1,1,2,1
19,1,32,1,1,8,16
20,1,16,1,1,4,1
21,2,16,1,1,4,2
22,2,32,1,1,16,3
23,2,32,1,1,16,8
24,2,16,1,1,1,2
25,2,16,1,1,8,2
26,2,32,1,1,16,3
27,1,16,1,1,4,1
28,2,16,1,1,1,4
29,1,16,1,1,8,1
30,2,16,1,1,2,1
31,1,32,1,1,3,8
32,1,32,1,1,8,16
33,2,16,1,1,4,1
34,1,16,1,1,1,2
35,1,32,1,1,3,16
36,2,16,1,1,2,4
