nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,3,2
2,2,32,1,1,3,16
3,1,32,1,1,3,16
4,2,32,1,1,3,8
5,1,16,1,1,4,8
6,2,32,1,1,8,16
7,2,32,1,1,2,3
8,2,32,1,1,8,16
9,1,16,1,1,1,4
10,1,32,1,1,3,8
11,1,16,1,1,4,2
12,2,32,1,1,8,3
13,1,16,1,1,2,8
14,1,32,1,1,2,3
15,2,32,1,1,2,16
16,2,16,1,1,8,2
17,2,16,1,1,1,8
18,1,32,1,1,2,8
19,1,32,1,1,3,8
20,1,16,1,1,2,1
21,2,32,1,1,16,2
22,1,32,1,1,16,8
23,2,32,1,1,16,8
24,1,32,1,1,2,16
25,2,16,1,1,1,2
26,2,32,1,1,8,2
27,1,16,1,1,4,2
28,1,16,1,1,8,4
29,2,16,1,1,8,1
30,2,32,1,1,16,2
31,2,32,1,1,2,8
32,2,32,1,1,16,3
33,1,32,1,1,16,3
34,2,16,1,1,2,1
35,1,32,1,1,8,2
36,1,32,1,1,8,2
