nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,16,1,1,1,4
2,1,32,1,1,2,3
3,2,32,1,1,3,2
4,2,32,1,1,16,3
5,2,16,1,1,2,1
6,1,32,1,1,2,8
7,2,16,1,1,1,2
8,1,32,1,1,8,16
9,1,32,1,1,16,2
10,1,32,1,1,8,2
11,1,32,1,1,3,8
12,1,16,1,1,1,4
13,1,32,1,1,16,8
14,2,32,1,1,16,2
15,2,16,1,1,2,4
16,1,16,1,1,1,8
17,1,32,1,1,16,2
18,2,32,1,1,3,16
19,1,32,1,1,3,2
20,1,32,1,1,16,3
21,1,16,1,1,4,1
22,2,16,1,1,4,8
23,1,32,1,1,8,3
24,2,16,1,1,1,8
25,1,32,1,1,3,8
26,2,16,1,1,4,2
27,2,32,1,1,3,16
28,2,32,1,1,8,3
29,2,16,1,1,4,1
30,2,16,1,1,2,8
31,2,32,1,1,16,3
32,1,16,1,1,8,4
33,2,16,1,1,8,4
34,2,32,1,1,2,16
35,2,16,1,1,1,2
36,1,16,1,1,4,8
