nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,8,16
2,2,32,1,1,3,2
3,2,32,1,1,3,2
4,2,16,1,1,8,1
5,2,32,1,1,3,16
6,1,32,1,1,8,3
7,2,16,1,1,2,8
8,2,16,1,1,4,8
9,1,16,1,1,8,2
10,1,32,1,1,2,16
11,1,16,1,1,1,8
12,1,16,1,1,1,4
13,1,16,1,1,8,2
14,1,32,1,1,3,8
15,2,16,1,1,4,1
16,2,16,1,1,4,2
17,2,16,1,1,1,2
18,2,32,1,1,3,2
19,2,32,1,1,3,16
20,1,32,1,1,16,2
21,2,16,1,1,1,2
22,2,16,1,1,8,4
23,1,16,1,1,8,2
24,1,16,1,1,2,4
25,1,32,1,1,2,16
26,1,16,1,1,1,4
27,1,32,1,1,8,2
28,2,16,1,1,8,1
29,2,16,1,1,1,4
30,2,16,1,1,1,2
31,2,32,1,1,3,8
32,1,16,1,1,4,8
33,1,16,1,1,8,4
34,1,32,1,1,8,3
35,2,16,1,1,8,4
36,1,32,1,1,8,2
