nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,32,1,1,3,8
2,2,16,1,1,1,4
3,1,32,1,1,8,2
4,1,32,1,1,16,2
5,1,16,1,1,8,2
6,1,32,1,1,16,8
7,1,16,1,1,1,8
8,2,16,1,1,8,1
9,2,32,1,1,8,3
10,1,32,1,1,2,8
11,1,32,1,1,3,16
12,2,32,1,1,3,8
13,1,32,1,1,8,3
14,2,32,1,1,16,8
15,2,16,1,1,2,8
16,1,32,1,1,8,16
17,2,32,1,1,2,3
18,1,16,1,1,2,8
19,1,32,1,1,3,2
20,2,16,1,1,1,8
21,1,16,1,1,1,4
22,2,16,1,1,8,1
23,2,32,1,1,8,2
24,2,16,1,1,2,4
25,1,16,1,1,8,2
26,2,16,1,1,4,1
27,2,32,1,1,3,2
28,2,32,1,1,16,8
29,1,32,1,1,8,3
30,1,16,1,1,4,8
31,1,16,1,1,4,8
32,1,16,1,1,1,2
33,2,16,1,1,8,2
34,2,16,1,1,2,1
35,1,32,1,1,2,3
36,2,32,1,1,2,16
