nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,1,1,1,8
2,1,32,1,1,16,2
3,1,32,1,1,3,2
4,1,16,1,1,4,8
5,2,32,1,1,16,3
6,2,32,1,1,2,3
7,1,16,1,1,4,2
8,1,32,1,1,8,3
9,2,16,1,1,2,8
10,2,16,1,1,8,2
11,2,16,1,1,4,8
12,1,16,1,1,2,1
13,1,16,1,1,1,4
14,2,32,1,1,2,3
15,1,32,1,1,3,16
16,2,16,1,1,4,1
17,2,16,1,1,2,1
18,1,16,1,1,4,1
19,1,16,1,1,2,8
20,1,32,1,1,2,16
21,2,32,1,1,16,3
22,2,16,1,1,2,4
23,2,32,1,1,8,2
24,1,32,1,1,2,16
25,1,16,1,1,8,1
26,1,16,1,1,1,4
27,1,32,1,1,16,2
28,2,32,1,1,8,3
29,2,16,1,1,4,8
30,2,16,1,1,1,4
31,1,32,1,1,2,3
32,2,32,1,1,16,8
33,1,16,1,1,2,4
34,2,16,1,1,8,4
35,1,16,1,1,8,4
36,2,32,1,1,3,8
