nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,32,1,1,8,16
2,2,16,1,1,1,4
3,1,16,1,1,8,2
4,1,32,1,1,3,8
5,1,16,1,1,2,1
6,1,16,1,1,1,8
7,2,16,1,1,2,4
8,1,16,1,1,2,1
9,2,16,1,1,1,8
10,2,32,1,1,16,8
11,1,16,1,1,8,1
12,2,16,1,1,2,1
13,2,32,1,1,3,16
14,2,16,1,1,4,8
15,1,16,1,1,4,8
16,2,32,1,1,3,16
17,1,32,1,1,8,3
18,1,16,1,1,4,2
19,2,32,1,1,2,8
20,2,32,1,1,16,8
21,2,16,1,1,2,8
22,2,32,1,1,2,16
23,2,32,1,1,3,8
24,1,16,1,1,8,1
25,2,16,1,1,1,2
26,1,16,1,1,8,4
27,2,16,1,1,1,4
28,2,32,1,1,16,3
29,1,32,1,1,16,2
30,1,32,1,1,8,2
31,1,16,1,1,4,1
32,1,16,1,1,1,2
33,1,16,1,1,1,2
34,1,16,1,1,8,2
35,2,32,1,1,8,3
36,1,16,1,1,4,1
