nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,16,1,1,1,8
2,2,16,1,1,4,2
3,1,16,1,1,1,4
4,2,16,1,1,2,4
5,2,32,1,1,2,8
6,2,32,1,1,3,2
7,1,16,1,1,8,2
8,1,16,1,1,8,1
9,2,32,1,1,16,2
10,1,32,1,1,3,16
11,2,16,1,1,8,2
12,1,16,1,1,4,8
13,1,32,1,1,8,3
14,2,32,1,1,8,2
15,1,16,1,1,4,1
16,2,16,1,1,4,2
17,1,32,1,1,2,3
18,2,16,1,1,8,4
19,1,16,1,1,8,2
20,2,16,1,1,8,1
21,2,32,1,1,2,3
22,1,32,1,1,16,8
23,2,16,1,1,2,1
24,1,32,1,1,8,2
25,2,16,1,1,1,8
26,2,32,1,1,8,16
27,1,16,1,1,1,8
28,1,16,1,1,4,8
29,1,16,1,1,2,1
30,1,32,1,1,3,16
31,1,16,1,1,8,4
32,2,32,1,1,3,8
33,2,16,1,1,1,2
34,2,32,1,1,2,8
35,2,32,1,1,3,16
36,1,16,1,1,2,4
