nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,1,1,2,8
2,2,16,1,1,4,8
3,1,32,1,1,8,16
4,2,32,1,1,16,2
5,1,16,1,1,2,1
6,1,16,1,1,4,1
7,1,16,1,1,2,4
8,2,16,1,1,2,4
9,1,16,1,1,4,2
10,2,16,1,1,8,4
11,2,16,1,1,8,4
12,1,16,1,1,8,4
13,1,16,1,1,8,2
14,2,16,1,1,1,4
15,2,16,1,1,4,2
16,1,16,1,1,2,8
17,1,16,1,1,1,4
18,2,16,1,1,1,2
19,2,32,1,1,8,2
20,1,32,1,1,2,8
21,1,16,1,1,8,1
22,2,16,1,1,2,4
23,2,16,1,1,4,2
24,2,32,1,1,3,2
25,1,16,1,1,2,8
26,2,16,1,1,8,2
27,2,16,1,1,8,1
28,1,16,1,1,1,8
29,1,16,1,1,4,8
30,1,16,1,1,2,1
31,1,32,1,1,2,3
32,1,16,1,1,1,2
33,2,16,1,1,4,1
34,2,32,1,1,16,3
35,2,16,1,1,1,8
36,1,16,1,1,1,8
