nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,8,2
2,1,16,1,1,8,4
3,1,32,1,1,16,2
4,2,16,1,1,8,1
5,2,16,1,1,2,4
6,1,32,1,1,2,16
7,2,32,1,1,3,16
8,1,16,1,1,8,4
9,1,16,1,1,4,8
10,2,32,1,1,8,2
11,1,32,1,1,2,3
12,2,16,1,1,2,1
13,2,32,1,1,3,8
14,2,16,1,1,2,1
15,2,32,1,1,2,8
16,2,16,1,1,4,8
17,2,16,1,1,2,4
18,2,32,1,1,8,3
19,1,16,1,1,8,4
20,1,32,1,1,16,3
21,1,16,1,1,4,1
22,2,16,1,1,4,2
23,1,16,1,1,4,8
24,2,16,1,1,4,2
25,1,32,1,1,2,16
26,2,32,1,1,3,2
27,1,32,1,1,2,8
28,1,16,1,1,1,8
29,1,16,1,1,8,1
30,2,16,1,1,1,4
31,2,16,1,1,1,2
32,1,16,1,1,8,2
33,1,32,1,1,3,16
34,2,32,1,1,16,3
35,2,16,1,1,2,8
36,1,16,1,1,1,2
