nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,16,3
2,2,32,1,1,2,8
3,1,32,1,1,3,2
4,2,16,1,1,1,2
5,2,16,1,1,1,8
6,2,32,1,1,2,3
7,2,16,1,1,2,8
8,1,32,1,1,3,8
9,1,32,1,1,8,3
10,1,32,1,1,16,8
11,2,32,1,1,16,2
12,1,16,1,1,4,2
13,2,32,1,1,16,3
14,1,32,1,1,16,3
15,1,16,1,1,2,4
16,2,16,1,1,2,1
17,2,32,1,1,2,16
18,2,16,1,1,4,8
19,2,16,1,1,2,1
20,2,16,1,1,8,4
21,1,16,1,1,4,1
22,1,16,1,1,4,8
23,1,16,1,1,2,4
24,2,32,1,1,2,8
25,1,16,1,1,1,8
26,2,32,1,1,3,16
27,2,32,1,1,16,8
28,1,16,1,1,8,1
29,1,16,1,1,1,2
30,1,32,1,1,8,2
31,1,16,1,1,4,8
32,1,32,1,1,16,2
33,1,32,1,1,2,8
34,2,16,1,1,2,8
35,2,32,1,1,8,3
36,2,16,1,1,4,1
