nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,16,1,1,1,8
2,2,32,1,1,8,16
3,2,32,1,1,2,3
4,2,16,1,1,1,8
5,1,32,1,1,2,8
6,2,16,1,1,8,4
7,2,16,1,1,4,2
8,1,32,1,1,8,3
9,1,32,1,1,3,8
10,2,32,1,1,8,16
11,2,16,1,1,2,8
12,2,32,1,1,2,3
13,1,16,1,1,2,1
14,1,16,1,1,8,4
15,1,32,1,1,16,2
16,2,32,1,1,8,2
17,1,32,1,1,16,2
18,2,32,1,1,3,16
19,1,32,1,1,3,8
20,1,16,1,1,4,2
21,2,16,1,1,2,1
22,1,16,1,1,8,2
23,1,32,1,1,16,8
24,1,32,1,1,3,2
25,2,32,1,1,2,8
26,2,32,1,1,2,3
27,1,16,1,1,8,2
28,2,32,1,1,8,2
29,2,32,1,1,2,8
30,1,32,1,1,16,2
31,1,16,1,1,1,8
32,1,32,1,1,3,16
33,2,16,1,1,4,1
34,1,16,1,1,2,4
35,2,16,1,1,8,2
36,2,16,1,1,4,8
