nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,8,16
2,1,32,1,1,16,2
3,1,16,1,1,8,1
4,2,16,1,1,8,2
5,2,32,1,1,2,8
6,1,16,1,1,8,4
7,1,32,1,1,3,16
8,2,16,1,1,8,2
9,2,16,1,1,2,8
10,2,16,1,1,2,1
11,2,16,1,1,4,1
12,1,32,1,1,2,16
13,2,32,1,1,16,2
14,2,16,1,1,1,2
15,1,32,1,1,3,2
16,1,16,1,1,4,2
17,1,32,1,1,16,8
18,1,32,1,1,2,8
19,1,32,1,1,2,8
20,2,32,1,1,8,2
21,1,32,1,1,3,8
22,1,32,1,1,2,3
23,2,16,1,1,4,1
24,1,32,1,1,3,16
25,1,32,1,1,2,16
26,2,32,1,1,8,16
27,2,32,1,1,8,16
28,1,32,1,1,2,16
29,2,32,1,1,16,3
30,2,16,1,1,4,2
31,2,16,1,1,1,2
32,1,16,1,1,2,4
33,2,16,1,1,2,4
34,1,32,1,1,8,3
35,2,32,1,1,3,2
36,2,32,1,1,16,8
