nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,1,1,1,4
2,1,16,1,1,2,4
3,2,32,1,1,16,8
4,2,32,1,1,2,8
5,2,16,1,1,1,8
6,2,32,1,1,2,16
7,1,32,1,1,2,16
8,1,32,1,1,8,3
9,1,16,1,1,2,1
10,1,32,1,1,8,2
11,1,32,1,1,3,2
12,2,32,1,1,3,16
13,1,16,1,1,2,4
14,2,16,1,1,1,2
15,1,32,1,1,2,8
16,1,32,1,1,16,8
17,1,32,1,1,8,16
18,2,32,1,1,16,2
19,2,16,1,1,4,2
20,2,16,1,1,8,2
21,2,16,1,1,8,4
22,2,32,1,1,2,3
23,2,16,1,1,2,8
24,1,16,1,1,8,2
25,2,32,1,1,8,3
26,1,32,1,1,2,3
27,1,16,1,1,4,1
28,1,16,1,1,4,8
29,1,16,1,1,8,1
30,2,16,1,1,8,2
31,1,32,1,1,3,16
32,2,16,1,1,8,1
33,2,16,1,1,2,4
34,1,32,1,1,8,2
35,2,16,1,1,4,8
36,1,32,1,1,3,2
