nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,8,16
2,1,32,1,1,8,2
3,1,32,1,1,2,16
4,2,32,1,1,8,16
5,2,16,1,1,1,4
6,2,16,1,1,2,4
7,1,32,1,1,16,2
8,2,32,1,1,8,2
9,1,16,1,1,4,2
10,1,16,1,1,1,2
11,2,16,1,1,8,2
12,2,32,1,1,16,2
13,1,32,1,1,8,3
14,2,16,1,1,8,2
15,2,32,1,1,8,2
16,2,16,1,1,2,4
17,2,16,1,1,8,4
18,1,16,1,1,4,8
19,1,32,1,1,3,2
20,2,32,1,1,3,2
21,1,16,1,1,8,4
22,2,16,1,1,2,1
23,1,32,1,1,2,16
24,1,16,1,1,8,4
25,2,32,1,1,2,16
26,2,32,1,1,2,3
27,1,32,1,1,3,16
28,2,16,1,1,2,4
29,2,16,1,1,1,4
30,2,16,1,1,1,2
31,1,16,1,1,8,2
32,2,32,1,1,8,3
33,1,32,1,1,3,16
34,1,32,1,1,3,16
35,1,16,1,1,8,1
36,1,32,1,1,2,8
