nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,32,1,1,2,8
2,1,16,1,1,4,2
3,2,16,1,1,2,4
4,2,16,1,1,4,2
5,1,32,1,1,16,2
6,1,16,1,1,8,4
7,1,32,1,1,2,16
8,2,32,1,1,3,16
9,1,32,1,1,8,2
10,2,32,1,1,8,16
11,1,32,1,1,8,16
12,2,16,1,1,8,2
13,2,32,1,1,8,2
14,1,16,1,1,8,2
15,1,16,1,1,1,2
16,1,32,1,1,3,16
17,2,32,1,1,16,2
18,1,32,1,1,2,3
19,2,32,1,1,3,2
20,2,16,1,1,2,4
21,1,16,1,1,4,2
22,2,16,1,1,4,8
23,1,32,1,1,2,3
24,2,32,1,1,3,16
25,2,32,1,1,2,16
26,2,16,1,1,8,4
27,1,32,1,1,2,16
28,2,32,1,1,8,2
29,1,32,1,1,3,2
30,1,32,1,1,3,8
31,1,32,1,1,2,8
32,2,32,1,1,3,2
33,1,16,1,1,8,2
34,2,16,1,1,1,4
35,2,16,1,1,8,1
36,1,32,1,1,16,8
