nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,32,1,1,8,3
2,1,32,1,1,2,8
3,1,16,1,1,2,1
4,1,32,1,1,3,16
5,2,32,1,1,16,2
6,2,16,1,1,1,2
7,1,16,1,1,8,4
8,2,16,1,1,8,4
9,2,32,1,1,8,2
10,1,16,1,1,1,8
11,2,16,1,1,1,8
12,1,32,1,1,3,8
13,2,32,1,1,16,2
14,1,32,1,1,3,8
15,1,16,1,1,8,4
16,1,32,1,1,8,3
17,2,32,1,1,3,16
18,2,16,1,1,2,1
19,1,16,1,1,2,4
20,1,16,1,1,4,8
21,2,32,1,1,16,3
22,1,16,1,1,8,2
23,2,32,1,1,3,2
24,2,32,1,1,16,2
25,1,16,1,1,4,2
26,2,16,1,1,2,8
27,1,16,1,1,4,1
28,2,32,1,1,2,8
29,1,16,1,1,1,4
30,1,32,1,1,8,16
31,2,16,1,1,1,2
32,2,32,1,1,8,16
33,2,16,1,1,1,2
34,1,16,1,1,1,8
35,1,32,1,1,8,2
36,2,16,1,1,8,2
