nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,1,1,1,4
2,2,32,1,1,3,2
3,1,32,1,1,3,8
4,1,16,1,1,2,8
5,2,32,1,1,8,2
6,2,32,1,1,2,3
7,1,16,1,1,1,4
8,1,32,1,1,2,16
9,1,32,1,1,2,3
10,2,32,1,1,3,16
11,1,32,1,1,8,3
12,2,16,1,1,1,8
13,1,32,1,1,16,8
14,2,32,1,1,16,3
15,1,32,1,1,3,8
16,2,16,1,1,8,1
17,1,16,1,1,2,4
18,1,32,1,1,16,8
19,1,16,1,1,2,8
20,2,32,1,1,3,2
21,1,32,1,1,16,3
22,2,32,1,1,2,16
23,2,16,1,1,1,4
24,1,16,1,1,8,1
25,2,16,1,1,8,4
26,1,32,1,1,16,3
27,1,16,1,1,4,2
28,2,32,1,1,8,2
29,1,32,1,1,8,3
30,2,16,1,1,4,1
31,2,32,1,1,2,3
32,1,16,1,1,2,1
33,2,16,1,1,4,8
34,1,32,1,1,16,2
35,2,16,1,1,4,8
36,2,16,1,1,4,8
