nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,3,8
2,2,32,1,1,16,8
3,2,32,1,1,2,16
4,2,16,1,1,4,1
5,2,32,1,1,16,3
6,1,32,1,1,8,16
7,2,32,1,1,2,3
8,1,32,1,1,2,8
9,2,16,1,1,4,2
10,2,16,1,1,2,1
11,2,32,1,1,2,3
12,1,32,1,1,3,2
13,1,16,1,1,1,8
14,2,16,1,1,1,2
15,1,32,1,1,16,8
16,1,32,1,1,8,3
17,2,16,1,1,8,1
18,1,16,1,1,8,4
19,1,16,1,1,8,1
20,1,16,1,1,2,4
21,2,32,1,1,3,2
22,2,16,1,1,2,8
23,1,16,1,1,8,2
24,2,16,1,1,4,1
25,1,16,1,1,2,4
26,2,16,1,1,4,1
27,1,16,1,1,4,8
28,2,32,1,1,16,3
29,1,32,1,1,8,3
30,2,32,1,1,2,8
31,1,16,1,1,1,8
32,2,16,1,1,4,8
33,1,32,1,1,3,16
34,2,32,1,1,2,8
35,1,16,1,1,2,8
36,1,32,1,1,16,2
