nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,16,1,1,2,4
2,1,32,1,1,16,8
3,1,16,1,1,4,1
4,1,16,1,1,1,4
5,1,32,1,1,3,16
6,2,32,1,1,2,16
7,1,16,1,1,8,4
8,1,32,1,1,16,2
9,2,32,1,1,8,16
10,2,32,1,1,3,2
11,1,16,1,1,4,2
12,2,16,1,1,4,1
13,1,16,1,1,2,4
14,2,32,1,1,2,8
15,2,16,1,1,2,8
16,1,32,1,1,3,8
17,1,32,1,1,2,3
18,2,32,1,1,2,3
19,2,16,1,1,4,2
20,1,32,1,1,2,3
21,2,32,1,1,16,3
22,2,16,1,1,4,1
23,2,16,1,1,2,1
24,2,16,1,1,8,1
25,2,32,1,1,2,8
26,1,16,1,1,4,8
27,2,32,1,1,8,3
28,1,32,1,1,2,16
29,1,16,1,1,1,8
30,2,32,1,1,8,16
31,1,16,1,1,2,1
32,2,32,1,1,16,8
33,2,16,1,1,8,1
34,2,16,1,1,8,2
35,1,32,1,1,16,3
36,1,32,1,1,3,16
