nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,16,2
2,1,16,1,1,4,8
3,2,32,1,1,8,16
4,2,16,1,1,8,1
5,2,16,1,1,8,1
6,1,32,1,1,3,2
7,1,32,1,1,2,16
8,1,16,1,1,4,1
9,1,32,1,1,3,8
10,1,32,1,1,8,2
11,1,32,1,1,16,3
12,1,16,1,1,1,2
13,2,32,1,1,3,2
14,2,16,1,1,1,2
15,2,32,1,1,3,8
16,1,16,1,1,4,2
17,2,16,1,1,1,4
18,2,16,1,1,1,2
19,1,16,1,1,4,8
20,1,16,1,1,1,8
21,1,32,1,1,3,16
22,2,16,1,1,2,1
23,2,32,1,1,16,3
24,1,32,1,1,3,16
25,1,16,1,1,8,2
26,2,32,1,1,16,8
27,2,32,1,1,3,8
28,2,16,1,1,4,2
29,2,16,1,1,1,8
30,1,16,1,1,4,2
31,2,32,1,1,2,8
32,1,16,1,1,8,4
33,2,16,1,1,8,4
34,2,16,1,1,1,4
35,1,16,1,1,2,8
36,2,16,1,1,4,1
