nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,32,1,1,8,16
2,2,16,1,1,1,2
3,2,32,1,1,8,2
4,2,16,1,1,8,1
5,1,32,1,1,16,3
6,1,16,1,1,1,4
7,1,32,1,1,8,16
8,1,16,1,1,4,2
9,2,16,1,1,8,1
10,2,32,1,1,3,8
11,2,16,1,1,1,2
12,1,16,1,1,1,8
13,1,16,1,1,4,1
14,2,32,1,1,2,8
15,1,16,1,1,8,1
16,1,32,1,1,2,16
17,2,16,1,1,8,2
18,2,32,1,1,8,2
19,1,16,1,1,1,8
20,2,32,1,1,16,8
21,2,32,1,1,3,2
22,2,16,1,1,2,1
23,2,16,1,1,1,2
24,2,32,1,1,16,3
25,1,32,1,1,3,16
26,2,16,1,1,4,2
27,1,16,1,1,8,4
28,1,16,1,1,8,4
29,1,16,1,1,1,4
30,2,32,1,1,3,8
31,1,16,1,1,4,2
32,1,32,1,1,8,16
33,2,16,1,1,2,8
34,2,32,1,1,3,2
35,1,16,1,1,2,4
36,1,16,1,1,2,8
